    0     0     0
   10     2     6
  -10    -6    -6
    8    -6     6
   10     0    12
   -4    14     2
    0    26     6
  -10    20     2
   -8    12   -12
   -4    18     0
   -6    14     8
   -4    20    18
  -16     8     8
  -22    14    12
  -14    14    22
  -10     2    28
  -18     6    30
  -26     2    32
  -50    -6    20
  -54   -16    14
  -62   -20    10
  -58   -24    30
  -58   -20    42
  -50   -22    44
  -54   -30    30
  -30   -36    48
  -42   -36    42
  -42   -26    58
  -32   -32    76
  -16   -24    96
   -6   -18   102
    4   -24   102
   14   -18   116
   24   -16   128
   24   -10   138
   40    -8   146
   50     0   152
   54     6   152
   54     6   162
   64     2   170
   60     8   166
   70    -4   174
   80     6   180
   80     6   176
   70     6   174
   84    20   182
   62    20   170
   64    16   184
   60    18   188
   68    26   200
   46    18   186
   38    16   184
   54     6   196
   50    18   192
   44    20   188
   36    26   178
   38    36   184
   34    20   184
   26     6   182
   20    10   182
   30    14   194
   18    10   184
   20    12   198
   24    12   204
   32    18   216
   34    22   218
   22    20   216
    8    12   210
    8     2   200
    8     6   192
   14     0   196
    0   -12   188
    0   -16   186
  -14   -22   174
  -28   -30   176
  -22   -30   180
  -20   -38   184
  -26   -26   184
  -26   -28   188
  -38   -30   180
  -38   -30   186
  -26   -34   198
  -16   -34   202
    4   -32   226
   14   -40   230
    6   -40   224
   30   -28   254
   34   -22   254
   22   -26   254
   32   -22   254
   46   -12   264
   48    -4   264
   52    -6   264
   52    -6   270
   42   -10   276
   26   -18   264
   18   -22   254
   26   -16   264
   34   -10   270
   42   -10   266
   32   -18   262
   24   -28   258
   18   -28   252
   14   -28   246
   -2   -30   236
  -10   -46   218
  -14   -58   222
  -18   -60   222
  -22   -54   222
  -38   -76   200
  -42   -70   198
  -40   -78   192
  -44   -80   184
  -44   -84   192
  -34   -80   196
  -42   -90   188
  -50   -94   182
  -46   -88   176
  -62   -96   174
  -64  -104   164
  -66  -104   170
  -56  -106   178
  -44  -114   186
  -42  -110   194
  -44   -98   190
  -28   -90   216
  -24   -82   218
  -16   -90   216
  -22   -84   216
  -22   -82   218
  -24   -84   222
  -20   -86   232
    0   -84   248
